id,name,brand,base_name,screen_size,pixels_x,pixels_y,screen_surface,touchscreen,cpu,cpu_details,detachable_keyboard,discrete_gpu,gpu,os,os_details,ram,ssd,storage,weight,min_price,max_price
23820,"2018 Newest Acer CB3-532 15.6"" HD Chromebook with 3x Faster WiFi, Intel Dual-Core Celeron N3060 up to 2.48GHz, 2GB RAM, 16GB SSD, HDMI, USB 3.0, Webcam, 12-Hours Battery, Chrome OS",Acer,Acer CB3-532,15.6,1366,768,Matte,0,Intel Celeron,Intel Celeron N3060 1.6 GHz (Braswell Dual-Core),0,0,Intel HD 400,Chrome OS,Chrome OS,2,16,16,4.3,174.98,185.00
19839,"Newest HP 14-inch Chromebook HD SVA (1366 x 768) Display, Intel Dual Core Celeron N2840 2.16GHz, 4GB DD3L RAM, 16GB eMMc Hard Drive, Bluetooth, HDMI, Stereo Speakers, HD Webcam, Google Chrome OS",HP,HP Chromebook 14,14,1366,768,Glossy,0,Intel Celeron,Intel Celeron N2840 2.16 GHz (Bay Trail Dual-Core),0,0,Intel HD,Chrome OS,Chrome OS,4,16,16,3.7,236.87,236.88
22978,"2018 Newest Premium Dell Inspiron 15.6-inch HD Display Laptop PC, 7th Gen AMD A6-9220 2.5GHz Processor, 4GB DDR4, 500GB HDD, WiFi, HDMI, Webcam, MaxxAudio, Bluetooth, DVD-RW, Windows 10-Black",Dell,Dell Inspiron 15 3000,15.6,1366,768,,0,AMD A6,AMD A6-9220 2.5 GHz (7th gen Stoney Ridge Dual-Core),0,0,AMD Radeon R4,Windows,Windows 10 Home,4,0,500,5.07,288.98,288.99
28331,"Newest HP 14-inch Chromebook HD Touchscreen Laptop PC (Intel Celeron N3350 up to 2.4GHz, 4GB RAM, 32GB Flash Memory, WiFi, HD Camera, Bluetooth, Up to 10 hrs Battery Life, Chrome OS , Black )",HP,HP Chromebook,14,1366,768,Glossy,1,Intel Celeron,Intel Celeron N3350 1.1 GHz (Apollo Lake Dual-Core),0,0,Intel HD 500,Chrome OS,Chrome OS,4,32,32,3.4,289.99,289.99
25265,"Dell 2018 Newest Lightweight Inspiron 11.6"" Touchscreen 2 in 1 Laptop PC AMD A6-9220e Processor 4GB DDR4 RAM 32GB eMMC SSD Hard Drive Radeon R4 Graphics Wifi Webcam Bluetooth 3.2 Lbs Windows 10 (Red)",Dell,Dell Inspiron 3185,11.6,1366,768,Glossy,1,AMD A6,AMD A6-9220e 1.6 GHz (7th gen Stoney Ridge Dual-Core),0,0,AMD Radeon R4,Windows,Windows 10 Home,4,32,32,3.41,288.00,288.00
4081,"Dell Inspiron i5547-3753sLV 15.6-Inch Laptop (1.7 GHz Intel Core i5-4210U Processor, 6GB DDR3, 1TB HDD, Windows 8.1) Silver",Dell,Dell Inspiron i5547-3753sLV,15.6,1366,768,Glossy,0,Intel Core i5,Intel Core i5-4210U 1.7 GHz (4th gen Haswell Dual-Core with Hyper-Threading),0,0,Intel HD 4400,Windows,Windows 8.1,6,0,1024,6,399.90,399.90
28803,"MSI GL63 8SC-059 15.6"" Gaming Laptop, Intel Core i7-8750H, NVIDIA GeForce GTX1650, 8GB, 256GB Nvme SSD, Win10",MSI,MSI GL63 8SC,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0,1,NVIDIA GeForce GTX 1650,Windows,Windows 10 Home,8,256,256,5.07,839.00,896.48
26957,"ASUS Vivobook S15 Slim and Portable Laptop, 15.6â€ Full HD NanoEdge Bezel, Intel Core I5-8265U Processor, 8GB DDR4, 256GB SSD, Windows 10 - S530FA-DB51, Gun Metal with Light Grey Trim",Asus,Asus VivoBook S530FA,15.6,1920,1080,Matte,0,Intel Core i5,Intel Core i5-8265U 1.6 GHz (8th gen Whiskey Lake Quad-Core with Hyper-Threading),0,0,Intel UHD 620,Windows,Windows 10 Home,8,256,256,3.97,579.00,579.99
20514,"ASUS Gaming Laptop, 17.3â€ Full HD Wideview Display, Intel Core i7-7700HQ Processor, NVIDIA GTX 1050 Ti 4GB, 8GB DDR4 RAM, 1TB HDD, Backlit kbd, USB 3.1 Type C, Windows 10 Home, FX73VE-WH71",Asus,Asus FX73VE,17.3,1920,1080,Matte,0,Intel Core i7,Intel Core i7-7700HQ 2.8 GHz (7th gen Kaby Lake Quad-Core with Hyper-Threading),0,1,NVIDIA GeForce GTX 1050 Ti,Windows,Windows 10 Home,8,0,1000,6.6,1539.00,1539.00
21890,"ASUS ROG Zephyrus M Ultra Slim Gaming Laptop, 15.6â€ Full HD 144Hz IPS-Type G-SYNC, GeForce GTX 1070, Intel Core i7-8750H Processor, 16GB DDR4, 256GB PCIe SSD + 1TB FireCuda, Windows 10 - GM501GS-XS74",Asus,Asus ROG Zephyrus M GM501,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0,1,NVIDIA GeForce GTX 1070,Windows,Windows 10 Pro,16,256,1256,5.4,1639.00,1649.00
22558,"Dell Inspiron 15 7567 Laptop: Core i5-7300HQ, 256GB SSD, 8GB RAM, GTX 1050Ti, 15.6inch Full HD Display",Dell,Dell Inspiron 7567,15.6,1920,1080,Matte,0,Intel Core i5,Intel Core i5-7300HQ 2.5 GHz (7th gen Kaby Lake Quad-Core),0,1,NVIDIA GeForce GTX 1050 Ti,Windows,Windows 10 Home,8,256,256,6.61,760.00,763.20
28046,"Acer Spin 3 Convertible Laptop, 14 inches Full HD IPS Touch, 8th Gen Intel Core i7-8565U, 16GB DDR4, 512GB PCIe NVMe SSD, Backlit KB, Fingerprint Reader, Rechargeable Active Stylus, SP314-53N-77AJ",Acer,Acer Spin 3 SP314-53N,14,1920,1080,Glossy,1,Intel Core i7,Intel Core i7-8565U 1.8 GHz (8th gen Whiskey Lake Quad-Core with Hyper-Threading),0,0,Intel UHD 620,Windows,Windows 10 Home,16,512,512,3.75,719.00,719.00
30991,"MSI GF63 Thin 9SC-066 15.6"" Gaming Laptop, Thin Bezel, Intel Core i7-9750H, NVIDIA GeForce GTX1650, 16GB, 512GB NVMe SSD",MSI,MSI GF63 Thin 9SC,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-9750H 2.6 GHz (9th gen Coffee Lake Hexa-Core with Hyper-Threading),0,1,NVIDIA GeForce GTX 1650,Windows,Windows 10 Home,16,512,512,4.1,888.95,949.00
19855,"Apple MacBook Air MJVM2LL/A 11.6-Inch laptop(1.6 GHz Intel i5, 128 GB SSD, Integrated Intel HD Graphics 6000, Mac OS X Yosemite (Renewed)",Apple,Apple MacBook Air MJVM2LL/A,11.6,1366,768,glossy,0,Intel Core i5,Intel Core i5-5250U 1.6 GHz (5th gen Broadwell Dual-Core with Hyper-Threading),,0,Intel HD 6000,macOS,OS X Yosemite,4,128,128,2.38,380.44,405.82
23205,"Dell i5575-A347SLV-PUS Inspiron 5000 Series AMD Ryzen 5-1080p 16GB Memory 15.6"" 1 TB HDD Touchscreen Laptop",Dell,Dell Inspiron 5575,15.6,1920,1080,Glossy,1,AMD Ryzen 5,AMD Ryzen 5 2500U 2.0 GHz (Quad-Core with Simultaneous Multi-Threading),0,0,AMD Radeon Vega 8,Windows,Windows 10 Home,16,0,1000,4.89,565.00,565.00
28643,"ROG Strix SCAR II Gaming Laptop, 17.3â€ 144Hz 3ms IPS Type, Intel Core i7-8750H Processor, NVIDIA GeForce GTX 1060 6GB GDDR5, 16GB DDR4, 256GB PCIe SSD + 1TB HDD, RGB, Windows 10 Home - GL704GM-DH74",Asus,Asus ROG Strix SCAR II GL704GM,17.3,1920,1080,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0,1,NVIDIA GeForce GTX 1060,Windows,Windows 10 Home,16,256,1256,6.39,1588.00,1599.00
6768,HP 15-f215dx 15.6-inch Laptop PC - AMD Quad-core A8 / 4GB Memory / 750GB HD / DVDÂ±RW/CD-RW / HD Webcam / Windows 8.1 64-bit (Black),HP,HP 15-f215dx,15.6,1366,768,glossy,0,AMD A8,AMD A8-6410 2.0 GHz (Puma Quad-Core),0,0,AMD Radeon R5,Windows,Windows 8.1,4,0,750,4.8,449.99,449.99
8285,"Dell Inspiron i7559-2512BLK 15.6 Inch FHD Laptop (6th Generation Intel Core i7, 8 GB RAM, 1 TB HDD + 8 GB SSD) NVIDIA Gaming GeForce GTX 960M",Dell,Dell Inspiron i7559-2512,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-6700HQ 2.6 GHz (6th gen Skylake Quad-Core with Hyper-Threading),0,1,NVIDIA GeForce GTX 960M,Windows,Windows 10,8,8,1008,5.67,809.99,809.99
10358,"Dell i3552-3240BLK 15.6"" HD Laptop (Intel Pentium N3700 1.6GHz Processor, 4 GB DDR3L SDRAM, 500 GB HDD, Windows 10) Black",Dell,Dell Inspiron i3552,15.6,1366,768,Glossy,0,Intel Pentium,Intel Pentium N3700 1.6 GHz (Braswell Quad-Core),0,0,Intel HD,Windows,Windows 10,4,0,500,4.85,399.99,399.99
12778,"Samsung NP900X5L-K02US Notebook 9 15"" Laptop (Iron Silver)",Samsung,Samsung Notebook 9 NP900X5L-K02US,15,1920,1080,Matte,0,Intel Core i7,Intel Core i7-6500U 2.5 GHz (6th gen Skylake Dual-Core with Hyper-Threading),0,0,Intel HD 520,Windows,Windows 10,8,256,256,2.9,722.00,722.00
29632,"CUK Omen 15t Gaming Laptop (Intel i7-9750H, 64GB RAM, 2TB NVMe SSD + 2TB HDD, NVIDIA GeForce RTX 2070 8GB Max-Q, 15.6"" 4K UHD, Windows 10 Home) Gamers Notebook Computer",HP,HP OMEN 15t,15.6,3840,2160,Matte,0,Intel Core i7,Intel Core i7-9750H 2.6 GHz (9th gen Coffee Lake Hexa-Core with Hyper-Threading),0,1,NVIDIA GeForce RTX 2070,Windows,Windows 10 Home,64,2000,4000,5.26,2199.99,2199.99
12766,Samsung Chromebook Plus Convertible Touch Laptop (XE513C24-K01US),Samsung,Samsung Chromebook Plus XE513C24-K01US,12.3,2400,1600,Glossy,1,OP1,OP1 2.0 GHz (Hexa-Core),0,0,,Chrome OS,Chrome OS,4,32,32,2.38,559.00,584.97
28224,"Newest HP High Performance 15.6â€ HD Touch-Screen Notebook Computer with Intel Pentium N5000 Processor, 4GB_RAM, 1TB Hard Drive, Webcam, WiFi and Bluetooth, HDMI, Windows 10 (Black)",HP,HP 15-bs289wm,15.6,1366,768,Glossy,1,Intel Pentium,Intel Pentium Silver N5000 1.1 GHz (Gemini Lake Quad-Core),0,0,Intel UHD 605,Windows,Windows 10 Home,4,0,1000,,325.99,360.00
23204,"HP 15-inch Laptop, AMD Ryzen 3 2200U Processor, 8 GB RAM, 1 TB Hard Drive, Windows 10 Home (15-db0030nr, Gray)",HP,HP 15-db0030nr,15.6,1366,768,Glossy,1,AMD Ryzen 3,AMD Ryzen 3 2200U 2.5 GHz (Dual-Core with Simultaneous Multi-Threading),0,0,AMD Radeon Vega 3,Windows,Windows 10 Home,8,0,1000,4.6,475.00,551.57
26138,"Lenovo Built Business Laptop PC 17.3"" HD+ Display Intel i5-7200U Processor 8GB DDR4 RAM 1TB HDD DVD-RW 802.11AC WIFI HDMI Bluetooth Webcam Windows 10-Gray",Lenovo,Lenovo IdeaPad 320,17.3,1600,900,Matte,0,Intel Core i5,Intel Core i5-7200U 2.5 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0,0,Intel HD 620,Windows,Windows 10 Home,8,0,1000,6.17,693.00,693.00
20094,"Lenovo Ideapad 15.6"" HD High Performance Laptop, AMD A12-9720P Quad core processor 2.7GHz, 8GB DDR4, 1TB HDD, DVD, Webcam, WiFi,Bluetooth, Windows 10, Platinum gray",Lenovo,Lenovo IdeaPad,15.6,1366,768,Matte,0,AMD A12,AMD A12-9720P 2.7 GHz (7th gen Bristol Ridge Quad-Core),0,0,AMD Radeon R7,Windows,Windows 10 Home,8,0,1000,4.85,424.22,424.22
26778,"Acer Predator Triton 500 Thin & Light Gaming Laptop, Intel Core i7-8750H, GeForce RTX 2060 with 6GB, 15.6"" Full HD 144Hz 3ms IPS Display, 16GB DDR4, 512GB PCIe NVMe SSD, RGB Keyboard, PT515-51-71VV",Acer,Acer Predator Triton 500 PT515-51,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0,1,NVIDIA GeForce RTX 2060,Windows,Windows 10 Home,16,512,512,4.41,1637.00,1652.60
17020,"HP Spectre x360 15-BL012DX 2-in-1 15.6in 4K UHD TouchScreen Laptop - Intel Core i7 - Nvidia GeForce 940MX, 16GB Memory, 512GB Solid State Drive (Renewed)",HP,HP Spectre x360 (15-bl012dx),15.6,3840,2160,Glossy,1,Intel Core i7,Intel Core i7-7500U 2.7 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0,1,NVIDIA GeForce 940MX,Windows,Windows 10,16,512,512,4.42,1499.77,1499.77
27584,"Apple MacBook Pro 13 (Mid 2012) - Core i7 2.9GHz, 8GB, 750GB HDD (Renewed)",Apple,Apple MacBook Pro 2012,13.3,1280,800,Glossy,0,Intel Core i7,Intel Core i7-3520M 2.9 GHz (3rd gen Ivy Bridge Dual-Core with Hyper-Threading),0,0,Intel HD 4000,macOS,OS X Lion,8,0,750,4.5,479.95,529.99
29846,"NEW Microsoft Surface Pro 7 â€“ 12.3"" Touch-Screen - 10th Gen Intel Core i7 - 16GB Memory - 256GB Solid State Drive (Latest Model) â€“ Matte Black",Microsoft,Microsoft Surface Pro 7,12.3,2736,1824,Glossy,1,Intel Core i7,Intel Core i7-1065G7 1.3 GHz (10th gen Ice Lake Quad-Core with Hyper-Threading),0,0,Intel Iris Plus,Windows,Windows 10 Home,16,256,256,1.74,1250.36,1259.00
6775,"Dell Inspiron 15 7000 Series i7537T-1122sLV 15-Inch Touchscreen Laptop (Intel Core i5 Processor, 6GB RAM)",Dell,Dell Inspiron 15 i7537T-1122sLV,15.6,1366,768,glossy,1,Intel Core i5,Intel Core i5-4210U 1.7 GHz (4th gen Haswell Dual-Core with Hyper-Threading),0,0,Intel HD,Windows,Windows 8.1,6,0,1000,5.7,669.00,669.00
13771,"Acer Aspire E 15 E5-575G-57D4 15.6-Inches Full HD Notebook (7th Gen Intel Core i5-7200U, GeForce 940MX, 8GB DDR4 SDRAM, 256GB SSD, Windows 10 Home), Obsidian Black",Acer,Acer Aspire E 15 E5-575G-57D4,15.6,1920,1080,Matte,0,Intel Core i5,Intel Core i5-7200U 2.5 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0,1,NVIDIA GeForce 940MX,Windows,Windows 10,8,256,256,5.27,999.00,999.00
20962,"2018 Lenovo Yoga 720 Flagship Slim Laptop, Silver, 2.9 lbs, 8th Generation Intel i7-8550U Processor, 16GB Memory, 512GB Solid State Disk, 13.3"" Full-HD Multitouch Screen, Back-lit keyboard",Lenovo,Lenovo Yoga 720,13.3,1920,1080,Glossy,1,Intel Core i7,Intel Core i7-8550U 1.8 GHz (8th gen Kaby Lake R Quad-Core with Hyper-Threading),0,0,Intel UHD 620,Windows,Windows 10 Home,16,512,512,2.9,995.49,999.00
30513,"Prostar NH58RDQ 15.6 Inches FHD IPS 144Hz 5ms, Intel i7-9750H, RTX 2060, 32GB 2666Mhz DDR4, 500GB NVMe SSD, 1TB SSHD, Windows 10 Home, Slim Bezel Gaming Laptop, 1-Year Warranty",Other,Prostar NH58RDQ,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-9750H 2.6 GHz (9th gen Coffee Lake Hexa-Core with Hyper-Threading),0,1,NVIDIA GeForce RTX 2060,Windows,Windows 10 Home,32,500,1500,5,1399.00,1449.00
4062,Dell Inspiron 15.6-Inch Touchscreen Laptop (i15RVT-3809BLK),Dell,Dell Inspiron 15.6-Inch,15.6,1366,768,Glossy,1,Intel Core i3,Intel Pentium 2127U 1.9 GHz (Ivy Bridge Dual-Core),0,0,Intel HD (UMA),Windows,Windows 8,4,0,500,6,417.57,417.57
22746,"MSI GP73 Leopard-209 17.3"" Thin and Light Gaming Laptop GTX 1070 8G i7-8750H (6 Cores) 16GB 256GB SSD + 1TB Windows 10, VR Ready, Windows 10 64 bit",MSI,MSI GP73 Leopard,17.3,1920,1080,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0,1,NVIDIA GeForce GTX 1070,Windows,Windows 10 Home,16,256,1256,5.95,1649.00,1649.00
30519,"New ! Dell Inspiron i3583 15.6"" HD Touch-Screen Laptop - Intel i5-8265U - 8GB DDR4-256GB SSD - Windows 10 - Wireless-AC - Bluetooth, SD Card Reader, HDMI & USB 3.1 -Waves MaxxAudio Pro- Black",Dell,Dell Inspiron 3583,15.6,1366,768,Glossy,1,Intel Core i5,Intel Core i5-8265U 1.6 GHz (8th gen Whiskey Lake Quad-Core with Hyper-Threading),0,0,Intel UHD 620,Windows,Windows 10 Home,8,256,256,4.41,431.05,445.00
6786,Dell i3542-6003BK Touch Screen 15.6 Intel Core i3 4GB 500GB HD Win 8.1 HDMI,Dell,Dell Inspiron 15 i3542-6003BK,15.6,1366,768,glossy,1,Intel Core i3,Intel Core i3-4030U 1.9 GHz (4th gen Haswell Dual-Core with Hyper-Threading),0,0,Intel HD,Windows,Windows 8.1,4,0,500,5.3,498.88,498.88
21893,"Acer Chromebook CB3-131-C3SZ 11.6-Inch Laptop (Intel Celeron N2840 Dual-Core Processor,2 GB RAM,16 GB Solid State Drive,Chrome), White(Renewed)",Acer,Acer Chromebook 11 CB3-131-C3SZ,11.6,1366,768,Matte,0,Intel Celeron,Intel Celeron N2840 2.16 GHz (Bay Trail Dual-Core),0,0,Intel HD,Chrome OS,Chrome OS,2,16,16,2.43,134.99,139.99
12294,"Built Lenovo Yoga 710 High Performance 14"" Full HD 1920x1080 2-in-1 Touchscreen Laptop PC Intel I5-7200U Processor 8GB DDR4 RAM 256GB SSD 802.11AC Wifi HDMI Bluetooth Webcam-Silver",Lenovo,Lenovo Yoga 710,14,1920,1080,Glossy,1,Intel Core i5,Intel Core i5-7200U 2.5 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0,0,Intel HD 620,Windows,Windows 10,8,256,256,3.42,824.99,824.99
21213,"Dell Inspiron Laptop - 15.6"" FHD IPS Touch, Intel Core i7 8th Gen, 8GB RAM, 1TB Hybrid Hard Drive, NVIDIA GeForce 940MX GPU, Platinum Silver - i7570-7817SLV-PUS",Dell,Dell Inspiron 7570,15.6,1920,1080,Glossy,1,Intel Core i7,Intel Core i7-8550U 1.8 GHz (8th gen Kaby Lake R Quad-Core with Hyper-Threading),0,1,NVIDIA GeForce 940MX,Windows,Windows 10 Home,8,0,1000,4.41,899.99,899.99
17748,"ASUS FX502VM-AH51 Gaming Laptop (Windows 10, Intel Core i5-6300HQ, 15.6"" LCD Screen, Storage: 1024 GB, RAM: 16 GB) Black",Asus,Asus FX502VM,15.6,1920,1080,Matte,0,Intel Core i5,Intel Core i5-6300HQ 2.3 GHz (6th gen Skylake Quad-Core),0,1,NVIDIA GeForce GTX 1060,Windows,Windows 10,16,0,1000,4.9,799.90,799.90
28485,"Dell XPS 9370 Laptop, 13.3"" UHD (3840 x 2160) InfinityEdge Touch Display, 8th Gen Intel Core i7-8550U, 8GB RAM, 256 GB SSD, Fingerprint Reader, Windows 10, Rose Gold",Dell,Dell XPS 9370,13.3,3840,2160,Glossy,1,Intel Core i7,Intel Core i7-8550U 1.8 GHz (8th gen Kaby Lake R Quad-Core with Hyper-Threading),0,0,Intel UHD 620,Windows,Windows 10 Home,8,256,256,2.68,1072.00,1079.99
31192,"2020 Dell Latitude 5500 15.6"" FHD Business Laptop Computer, Intel Quad-Core i7-8665U Up to 4.8GHz, 16GB DDR4, 512GB SSD, Windows 10 Professional + EST External DVD+ Accessories",Dell,Dell Latitude 5500,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-8665U 1.9 GHz (8th gen Whiskey Lake Quad-Core with Hyper-Threading,0,0,Intel UHD 620,Windows,Windows 10 Pro,16,512,512,4.03,1199.00,1199.00
23424,"Razer Blade 15: World's Smallest 15.6"" Gaming Laptop - 144Hz Full HD Thin Bezel - 8th Gen Intel Core i7-8750H 6 Core - NVIDIA GeForce GTX 1070 Max-Q - 16GB RAM - 256GB SSD - Windows 10 - CNC Aluminum",Razer,Razer Blade 15,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0,1,NVIDIA GeForce GTX 1070,Windows,Windows 10 Home,16,256,256,4.63,2999.11,2999.11
7495,"Acer Aspire E5-573G 15.6-Inch Laptop (Intel Core i5-5200U, 8 GB RAM, 1 TB Hard Drive, Windows 10 Home), Black",Acer,Acer Aspire E 15 E5-573G,15.6,1920,1080,Matte,0,Intel Core i5,Intel Core i5-5200U 2.20 GHz (5th gen Broadwell Dual-Core with Hyper-Threading),0,1,NVIDIA GeForce 940M,Windows,Windows 10,8,0,1000,5.29,789.00,789.00
23115,"Alienware AW15R3-7376SLV-PUS 15.6"" Gaming Laptop (7th Generation Intel Core i7, 16GB RAM, 128SSD + 1 TB HDD, Silver) VR Ready with NVIDIA GTX 1070",Alienware,Alienware 15 R3,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-7700HQ 2.8 GHz (7th gen Kaby Lake Quad-Core with Hyper-Threading),0,1,NVIDIA GeForce GTX 1070,Windows,Windows 10 Home,16,128,1128,7.69,1491.79,1496.79
24019,"Lenovo IdeaPad 330-15IGM 15.6"" HD Anti-glare Laptop, Intel Quad-Core Celeron N4100 4GB RAM 500GB HDD DVDRW 802.11ac HDMI Bluetooth Webcam",Lenovo,Lenovo IdeaPad 330,15.6,1366,768,Matte,0,Intel Celeron,Intel Celeron N4100 1.1 GHz (Gemini Lake Quad-Core),0,0,Intel UHD 600,Windows,Windows 10 Home,4,0,500,4.85,255.00,255.00
13772,"High Performance HP 15.6"" Laptop PC AMD A6-7310 Quad-Core Processor 4GB RAM 500GB HDD AMD Radeon R4 Graphics DVD-RW HDMI WIFI HDMI Webcam DTS Audio Windows 10-Black",HP,HP 15-ba009dx,15.6,1366,768,Glossy,0,AMD A6,AMD A6-7310 2.0 GHz (Puma+ Quad-Core),0,0,AMD Radeon R4,Windows,Windows 10,4,0,500,4.74,465.00,465.00
12769,"Asus C302CA-DHM4 Chromebook Flip 12.5-Inch Touchscreen Convertible Chromebook, Intel Core M3, 4GB RAM, 64GB Flash Storage, All-Metal Body, USB Type C, Corning Gorilla Glass, Chrome OS",Asus,Asus C302CA-DHM4,12.5,1920,1080,Glossy,1,Intel Core m3,Intel Core m3-6Y30 0.9 GHz (6th gen Skylake Dual-Core with Hyper-Threading),0,0,Intel HD 515,Chrome OS,Chrome OS,4,64,64,2.65,509.97,599.90
